Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
6309903,silantro fil-mex,162,pasig city,"75 east capitol drive, kapitolyo, pasig city",kapitolyo,"kapitolyo, pasig city",121.057916,14.567689,"filipino, mexican",800.0,botswana pula(p),no,no,no,no,3,4.9,dark green,excellent,1070
6309455,mad mark's creamery & good eats,162,pasig city,"23 east capitol drive, kapitolyo, pasig city",kapitolyo,"kapitolyo, pasig city",121.06082,14.570849,"american, ice cream, desserts",900.0,botswana pula(p),yes,no,no,no,3,4.2,green,very good,488
6318433,silantro fil-mex,162,quezon city,"second floor, up town center, katipunan avenue, diliman, quezon city","up town center, diliman, quezon city","up town center, diliman, quezon city, quezon city",121.075419,14.649503,"filipino, mexican",800.0,botswana pula(p),no,no,no,no,3,4.8,dark green,excellent,294
6310470,guevarra's,162,san juan city,"387 p. guevarra corner argonne street, addition hills, san juan city",addition hills,"addition hills, san juan city",121.0335917,14.59345,filipino,1000.0,botswana pula(p),yes,no,no,no,3,4.2,green,very good,458
6314605,sodam korean restaurant,162,san juan city,"17 j. abad santos drive, little baguio, san juan city",little baguio,"little baguio, san juan city",121.03811,14.59889,korean,700.0,botswana pula(p),no,no,no,no,3,4.3,green,very good,223
18185059,cafe arabelle,162,santa rosa,"ayala mall, solenad, nuvali, santa rosa - tagaytay road, don jose, santa rosa","nuvali, don jose, santa rosa","nuvali, don jose, santa rosa, santa rosa",121.05704,14.237082,"cafe, american, italian, filipino",800.0,botswana pula(p),no,no,no,no,3,3.6,yellow,good,29
18182702,nonna's pasta & pizzeria,162,santa rosa,"ground floor, building g, solenad 3, nuvali, don jose, santa rosa","solenad 3, don jose, santa rosa","solenad 3, don jose, santa rosa, santa rosa",121.0565874,14.23767897,"italian, pizza",850.0,botswana pula(p),no,no,no,no,3,4.0,green,very good,72
6318213,balay dako,162,tagaytay city,"aguinaldo highway, tagaytay city",tagaytay city,"tagaytay city, tagaytay city",120.951589,14.101834,filipino,1200.0,botswana pula(p),yes,no,no,no,3,4.5,dark green,excellent,211
18255654,hobing korean dessert cafe,162,taguig city,"third floor, bgc stopover pavillion, rizal drive corner 31st street, bonifacio global city, taguig city","bgc stopover pavillion, bonifacio global city","bgc stopover pavillion, bonifacio global city, taguig city",121.045878,14.55436,"cafe, korean, desserts",600.0,botswana pula(p),no,no,no,no,2,4.5,dark green,excellent,118
6308205,wildflour cafe + bakery,162,taguig city,"ground floor, netlima building, 4th avenue corner 26th street, bonifacio global city, taguig city",bonifacio global city,"bonifacio global city, taguig city",121.04622,14.549337,"cafe, bakery, american, italian",400.0,botswana pula(p),yes,no,no,no,4,4.4,green,very good,392
6315438,niu by vikings,162,taguig city,"sixth floor, sm aura premier, c5 road corner 26th street, bonifacio global city, taguig city","sm aura premier, bonifacio global city, taguig city","sm aura premier, bonifacio global city, taguig city, taguig city",121.053725,14.545858,"seafood, american, mediterranean, japanese",400.0,botswana pula(p),yes,no,no,no,4,4.7,dark green,excellent,535
6310406,the food hall by todd english,162,taguig city,"fifth floor, sm aura premier, c5 corner 26th street, bonifacio global city, taguig city","sm aura premier, bonifacio global city, taguig city","sm aura premier, bonifacio global city, taguig city, taguig city",121.0534998,14.54565535,"american, asian, italian, seafood",400.0,botswana pula(p),yes,no,no,no,4,4.5,dark green,excellent,618
6600681,chez michou,30,bras�_lia,"scln, 208, bloco a, loja 30, asa norte, bras�_lia",asa norte,"asa norte, bras�_lia",-47.88178889,-15.76414167,"fast food, french",55.0,brazilian real(r$),no,no,no,no,2,3.0,orange,average,6
6601005,caf�� daniel briand,30,bras�_lia,"scln 104, bloco a, loja 26, asa norte, bras�_lia",asa norte,"asa norte, bras�_lia",-47.88266667,-15.7775,cafe,30.0,brazilian real(r$),no,no,no,no,1,3.8,yellow,good,9
6600292,casa do biscoito mineiro,30,bras�_lia,"scln 210, bloco d, loja 36/48, asa norte, bras�_lia",asa norte,"asa norte, bras�_lia",-47.88213611,-15.75747222,bakery,45.0,brazilian real(r$),no,no,no,no,2,3.7,yellow,good,11
6600441,maori,30,bras�_lia,"cln 110, bloco d, loja 28, asa norte, bras�_lia",asa norte,"asa norte, bras�_lia",-47.88816667,-15.75883333,brazilian,60.0,brazilian real(r$),no,no,no,no,3,3.8,yellow,good,11
6600970,pizza �� bessa,30,bras�_lia,"scs 214, bloco c, loja 40, asa sul, bras�_lia",asa sul,"asa sul, bras�_lia",-47.91566667,-15.83116667,pizza,50.0,brazilian real(r$),no,no,no,no,2,3.2,orange,average,11
6600379,sushi loko,30,bras�_lia,"scs 213, bloco c, loja 35, asa sul, bras�_lia",asa sul,"asa sul, bras�_lia",-47.91566667,-15.831,japanese,80.0,brazilian real(r$),no,no,no,no,3,3.1,orange,average,10
6600214,beirute,30,bras�_lia,"cls 109, bloco a, loja 2/6, asa sul, bras�_lia",asa sul,"asa sul, bras�_lia",-47.9075,-15.82,arabian,90.0,brazilian real(r$),no,no,no,no,3,3.7,yellow,good,8
6601218,new koto,30,bras�_lia,"scs 212, bloco b, loja 26, asa sul, bras�_lia",asa sul,"asa sul, bras�_lia",-47.91016667,-15.82733333,japanese,200.0,brazilian real(r$),no,no,no,no,4,3.7,yellow,good,5
6600060,sandubas caf��,30,bras�_lia,"edif�_cio jos�� severo, scs 6, bloco a, loja 99, asa sul, bras�_lia",asa sul,"asa sul, bras�_lia",-47.89016667,-15.797,"brazilian, cafe",30.0,brazilian real(r$),no,no,no,no,1,0.0,white,not rated,2
6600083,villa tevere,30,bras�_lia,"cls 115, bloco a, loja 2, asa sul, bras�_lia",asa sul,"asa sul, bras�_lia",-47.92366667,-15.83133333,italian,150.0,brazilian real(r$),no,no,no,no,4,4.1,green,very good,12
6601515,rovereto,30,bras�_lia,"rua 13 norte, lote 4, �guas claras, bras�_lia",�guas claras,"�guas claras, bras�_lia",-48.019,-15.83716667,pizza,100.0,brazilian real(r$),no,no,no,no,4,3.1,orange,average,9
6601361,buena carne,30,bras�_lia,"avenida arauc��rias, 1325, loja 19, �guas claras, bras�_lia",�guas claras,"�guas claras, bras�_lia",-48.01909167,-15.839775,"bar food, brazilian",60.0,brazilian real(r$),no,no,no,no,3,3.6,yellow,good,9
